,0,1,2,3,4,5,6,7,8,9
0,0.0,2831.0,14133.0,10426.0,11280.0,1308.0,22.0,0.0,0.0,22558.0
1,0.0,19659.0,4060.0,9444.0,3219.0,548.0,2610.0,0.0,460.0,24611.0
2,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9914.0
3,12343.0,8622.0,3628.0,3512.0,329.0,0.0,11276.0,0.0,290.0,51147.0
4,1382.0,21774.0,8944.0,485.0,4240.0,2256.0,616.0,303.0,0.0,42167.0
5,6726.0,3886.0,1639.0,5934.0,19115.0,2112.0,588.0,0.0,0.0,50696.0
6,3697.0,26614.0,621.0,0.0,0.0,1438.0,6220.0,0.0,1410.0,3903.0
7,19833.0,25.0,3534.0,4.0,0.0,0.0,4313.0,0.0,12291.0,18305.0
8,11451.0,237.0,3024.0,0.0,0.0,0.0,22501.0,0.0,2787.0,50300.0
9,563.0,46.0,0.0,0.0,11201.0,2033.0,26157.0,0.0,0.0,50036.0
10,252.0,30287.0,1406.0,255.0,0.0,0.0,5862.0,1.0,1937.0,45733.0
11,8709.0,10450.0,5470.0,6905.0,1339.0,442.0,4799.0,1847.0,39.0,3743.0
12,1838.0,6756.0,4158.0,13844.0,3128.0,5044.0,890.0,4342.0,0.0,1646.0
13,4731.0,7839.0,520.0,5004.0,14280.0,3855.0,3704.0,67.0,0.0,33137.0
14,11634.0,9231.0,6574.0,6988.0,365.0,932.0,2674.0,1224.0,378.0,14037.0
15,10478.0,7368.0,740.0,14507.0,3207.0,972.0,2727.0,0.0,1.0,18766.0
16,9532.0,1205.0,4262.0,1044.0,2787.0,3775.0,15000.0,1715.0,680.0,46050.0
17,329.0,10278.0,5006.0,0.0,323.0,15148.0,242.0,1564.0,7110.0,21626.0
18,8056.0,10012.0,5523.0,12579.0,849.0,0.0,2796.0,0.0,185.0,29855.0
19,3452.0,36302.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,16871.0
